,Drug 1,Drug 2,Drug 3,Risk Rationale,Recommendation
0,"[""BENAZEPRIL"", ""CAPTOPRIL"", ""ENALAPRIL"", ""ENALAPRIL"", ""FOSINOPRIL"", ""LISINOPRIL"", ""MOEXIPRIL"", ""PERINDOPRIL"", ""QUINAPRIL"", ""RAMIPRIL"", ""TRANDOLAPRIL"", ""CANDESARTAN"", ""EPROSARTAN"", ""IRBESARTAN"", ""LOSARTAN"", ""OLMESARTAN"", ""TELMISARTAN"", ""VALSARTAN"", ""ALISKIREN"", ""AMILORIDE"", ""TRIAMTERENE""]","[""BENAZEPRIL"", ""CAPTOPRIL"", ""ENALAPRIL"", ""ENALAPRIL"", ""FOSINOPRIL"", ""LISINOPRIL"", ""MOEXIPRIL"", ""PERINDOPRIL"", ""QUINAPRIL"", ""RAMIPRIL"", ""TRANDOLAPRIL"", ""CANDESARTAN"", ""EPROSARTAN"", ""IRBESARTAN"", ""LOSARTAN"", ""OLMESARTAN"", ""TELMISARTAN"", ""VALSARTAN"", ""ALISKIREN""]",,Increased risk of hyperkalemia,Avoid routine use in those with chronic kidney disease stage 3a or higher
1,"[""CHLORDIAZEPOXIDE"", ""HEROIN"", ""CODEINE"", ""OXYCODONE"", ""HYDROCODONE"", ""TRAMADOL"", ""MORPHINE"", ""HYDROMORPHONE"", ""FENTANYL"", ""DOXAZOSIN""]","[""ALPRAZOLAM"", ""ESTAZOLAM"", ""LORAZEPAM"", ""OXAZEPAM"", ""TEMAZEPAM"", ""TRIAZOLAM"", ""CHLORDIAZEPOXIDE"", ""CLONAZEPAM"", ""CLORAZEPATE"", ""DIAZEPAM"", ""FLURAZEPAM"", ""QUAZEPAM""]",,Increased risk of overdose,Avoid
2,"[""CHLORDIAZEPOXIDE"", ""HEROIN"", ""CODEINE"", ""OXYCODONE"", ""HYDROCODONE"", ""TRAMADOL"", ""MORPHINE"", ""HYDROMORPHONE"", ""FENTANYL"", ""DOXAZOSIN""]","[""GABAPENTIN"", ""PREGABALIN""]",,"Increased risk of severe sedation-related adverse events, including respiratory depression and death","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregabalin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances."
3,"[""DISOPYRAMIDE"", ""MEPYRAMINE"", ""TRIPROLIDINE"", ""AMITRIPTYLINE"", ""AMOXAPINE"", ""CLOMIPRAMINE"", ""DESIPRAMINE"", ""DOXEPIN"", ""DARIFENACIN"", ""IMIPRAMINE"", ""FESOTERODINE"", ""NORTRIPTYLINE"", ""FLAVOXATE"", ""PAROXETINE"", ""OXYBUTYNIN"", ""PROTRIPTYLINE"", ""SOLIFENACIN"", ""TRIMIPRAMINE"", ""TOLTERODINE"", ""TROSPIUM"", ""PROCHLORPERAZINE"", ""PROMETHAZINE"", ""BENZATROPINE"", ""TRIHEXYPHENIDYL"", ""BROMPHENIRAMINE"", ""CARBINOXAMINE"", ""CHLORPROMAZINE"", ""CHLORPHENIRAMINE"", ""CLOZAPINE"", ""CLEMASTINE"", ""CYPROHEPTADINE"", ""OLANZAPINE"", ""DEXBROMPHENIRAMINE"", ""CHLORPHENIRAMINE"", ""THIORIDAZINE"", ""DIMENHYDRINATE"", ""TRIFLUOPERAZINE"", ""DIPHENHYDRAMINE"", ""DOXYLAMINE"", ""HYDROXYZINE"", ""ATROPINE"", ""MECLIZINE"", null, null, ""METHYLSCOPOLAMINE"", ""DICYCLOMINE"", ""HOMATROPINE METHYLBROMIDE"", ""HYOSCYAMINE"", ""CYCLOBENZAPRINE"", ""METHYLSCOPOLAMINE"", ""ORPHENADRINE"", ""PROPANTHELINE""]","[""DISOPYRAMIDE"", ""MEPYRAMINE"", ""TRIPROLIDINE"", ""AMITRIPTYLINE"", ""AMOXAPINE"", ""CLOMIPRAMINE"", ""DESIPRAMINE"", ""DOXEPIN"", ""DARIFENACIN"", ""IMIPRAMINE"", ""FESOTERODINE"", ""NORTRIPTYLINE"", ""FLAVOXATE"", ""PAROXETINE"", ""OXYBUTYNIN"", ""PROTRIPTYLINE"", ""SOLIFENACIN"", ""TRIMIPRAMINE"", ""TOLTERODINE"", ""TROSPIUM"", ""PROCHLORPERAZINE"", ""PROMETHAZINE"", ""BENZATROPINE"", ""TRIHEXYPHENIDYL"", ""BROMPHENIRAMINE"", ""CARBINOXAMINE"", ""CHLORPROMAZINE"", ""CHLORPHENIRAMINE"", ""CLOZAPINE"", ""CLEMASTINE"", ""CYPROHEPTADINE"", ""OLANZAPINE"", ""DEXBROMPHENIRAMINE"", ""CHLORPHENIRAMINE"", ""THIORIDAZINE"", ""DIMENHYDRINATE"", ""TRIFLUOPERAZINE"", ""DIPHENHYDRAMINE"", ""DOXYLAMINE"", ""HYDROXYZINE"", ""ATROPINE"", ""MECLIZINE"", null, null, ""METHYLSCOPOLAMINE"", ""DICYCLOMINE"", ""HOMATROPINE METHYLBROMIDE"", ""HYOSCYAMINE"", ""CYCLOBENZAPRINE"", ""METHYLSCOPOLAMINE"", ""ORPHENADRINE"", ""PROPANTHELINE""]",,Increased risk of cognitive decline,Avoid; minimize number of anticholinergic drugs
4,"[""AMITRIPTYLINE"", ""AMOXAPINE"", ""CLOMIPRAMINE"", ""DESIPRAMINE"", ""DOXEPIN"", ""IMIPRAMINE"", ""NORTRIPTYLINE"", ""PAROXETINE"", ""PROTRIPTYLINE"", ""TRIMIPRAMINE"", ""CITALOPRAM"", ""ESCITALOPRAM"", ""FLUOXETINE"", ""PAROXETINE"", ""SERTRALINE"", ""DESVENLAFAXINE"", ""DULOXETINE"", ""CHLORAMPHENICOL"", ""MILNACIPRAN"", ""VENLAFAXINE"", ""CHLORPROMAZINE"", ""DROPERIDOL"", ""FLUPHENAZINE"", ""HALOPERIDOL"", ""LOXAPINE"", ""PERPHENAZINE"", ""PIMOZIDE"", ""PROCHLORPERAZINE"", ""THIORIDAZINE"", ""THIOTHIXENE"", ""TRIFLUOPERAZINE"", ""ARIPIPRAZOLE"", ""ASENAPINE"", ""ILOPERIDONE"", ""LURASIDONE"", ""OLANZAPINE"", ""PALIPERIDONE"", ""RISPERIDONE"", ""ZIPRASIDONE"", ""QUETIAPINE"", ""CLOZAPINE"", ""MEQUITAZINE"", ""PHENYTOIN"", ""VALPROIC ACID"", ""PHENOBARBITAL"", ""LAMOTRIGINE"", ""CARBAMAZEPINE"", ""TOPIRAMATE"", ""OXCARBAZEPINE"", ""ZONISAMIDE"", ""GABAPENTIN"", ""LEVETIRACETAM"", ""PREGABALIN"", ""CLONAZEPAM"", null, ""LACOSAMIDE"", ""RUFINAMIDE"", ""VIGABATRIN"", ""ALPRAZOLAM"", ""ESTAZOLAM"", ""LORAZEPAM"", ""OXAZEPAM"", ""TEMAZEPAM"", ""TRIAZOLAM"", ""CHLORDIAZEPOXIDE"", ""CLONAZEPAM"", ""CLORAZEPATE"", ""DIAZEPAM"", ""FLURAZEPAM"", ""QUAZEPAM"", ""ESZOPICLONE"", ""ZALEPLON"", ""ZOLPIDEM"", ""CHLORDIAZEPOXIDE"", ""HEROIN"", ""CODEINE"", ""OXYCODONE"", ""HYDROCODONE"", ""TRAMADOL"", ""MORPHINE"", ""HYDROMORPHONE"", ""FENTANYL"", ""DOXAZOSIN""]","[""AMITRIPTYLINE"", ""AMOXAPINE"", ""CLOMIPRAMINE"", ""DESIPRAMINE"", ""DOXEPIN"", ""IMIPRAMINE"", ""NORTRIPTYLINE"", ""PAROXETINE"", ""PROTRIPTYLINE"", ""TRIMIPRAMINE"", ""CITALOPRAM"", ""ESCITALOPRAM"", ""FLUOXETINE"", ""PAROXETINE"", ""SERTRALINE"", ""DESVENLAFAXINE"", ""DULOXETINE"", ""CHLORAMPHENICOL"", ""MILNACIPRAN"", ""VENLAFAXINE"", ""CHLORPROMAZINE"", ""DROPERIDOL"", ""FLUPHENAZINE"", ""HALOPERIDOL"", ""LOXAPINE"", ""PERPHENAZINE"", ""PIMOZIDE"", ""PROCHLORPERAZINE"", ""THIORIDAZINE"", ""THIOTHIXENE"", ""TRIFLUOPERAZINE"", ""ARIPIPRAZOLE"", ""ASENAPINE"", ""ILOPERIDONE"", ""LURASIDONE"", ""OLANZAPINE"", ""PALIPERIDONE"", ""RISPERIDONE"", ""ZIPRASIDONE"", ""QUETIAPINE"", ""CLOZAPINE"", ""MEQUITAZINE"", ""PHENYTOIN"", ""VALPROIC ACID"", ""PHENOBARBITAL"", ""LAMOTRIGINE"", ""CARBAMAZEPINE"", ""TOPIRAMATE"", ""OXCARBAZEPINE"", ""ZONISAMIDE"", ""GABAPENTIN"", ""LEVETIRACETAM"", ""PREGABALIN"", ""CLONAZEPAM"", null, ""LACOSAMIDE"", ""RUFINAMIDE"", ""VIGABATRIN"", ""ALPRAZOLAM"", ""ESTAZOLAM"", ""LORAZEPAM"", ""OXAZEPAM"", ""TEMAZEPAM"", ""TRIAZOLAM"", ""CHLORDIAZEPOXIDE"", ""CLONAZEPAM"", ""CLORAZEPATE"", ""DIAZEPAM"", ""FLURAZEPAM"", ""QUAZEPAM"", ""ESZOPICLONE"", ""ZALEPLON"", ""ZOLPIDEM"", ""CHLORDIAZEPOXIDE"", ""HEROIN"", ""CODEINE"", ""OXYCODONE"", ""HYDROCODONE"", ""TRAMADOL"", ""MORPHINE"", ""HYDROMORPHONE"", ""FENTANYL"", ""DOXAZOSIN""]","[""AMITRIPTYLINE"", ""AMOXAPINE"", ""CLOMIPRAMINE"", ""DESIPRAMINE"", ""DOXEPIN"", ""IMIPRAMINE"", ""NORTRIPTYLINE"", ""PAROXETINE"", ""PROTRIPTYLINE"", ""TRIMIPRAMINE"", ""CITALOPRAM"", ""ESCITALOPRAM"", ""FLUOXETINE"", ""PAROXETINE"", ""SERTRALINE"", ""DESVENLAFAXINE"", ""DULOXETINE"", ""CHLORAMPHENICOL"", ""MILNACIPRAN"", ""VENLAFAXINE"", ""CHLORPROMAZINE"", ""DROPERIDOL"", ""FLUPHENAZINE"", ""HALOPERIDOL"", ""LOXAPINE"", ""PERPHENAZINE"", ""PIMOZIDE"", ""PROCHLORPERAZINE"", ""THIORIDAZINE"", ""THIOTHIXENE"", ""TRIFLUOPERAZINE"", ""ARIPIPRAZOLE"", ""ASENAPINE"", ""ILOPERIDONE"", ""LURASIDONE"", ""OLANZAPINE"", ""PALIPERIDONE"", ""RISPERIDONE"", ""ZIPRASIDONE"", ""QUETIAPINE"", ""CLOZAPINE"", ""MEQUITAZINE"", ""PHENYTOIN"", ""VALPROIC ACID"", ""PHENOBARBITAL"", ""LAMOTRIGINE"", ""CARBAMAZEPINE"", ""TOPIRAMATE"", ""OXCARBAZEPINE"", ""ZONISAMIDE"", ""GABAPENTIN"", ""LEVETIRACETAM"", ""PREGABALIN"", ""CLONAZEPAM"", null, ""LACOSAMIDE"", ""RUFINAMIDE"", ""VIGABATRIN"", ""ALPRAZOLAM"", ""ESTAZOLAM"", ""LORAZEPAM"", ""OXAZEPAM"", ""TEMAZEPAM"", ""TRIAZOLAM"", ""CHLORDIAZEPOXIDE"", ""CLONAZEPAM"", ""CLORAZEPATE"", ""DIAZEPAM"", ""FLURAZEPAM"", ""QUAZEPAM"", ""ESZOPICLONE"", ""ZALEPLON"", ""ZOLPIDEM"", ""CHLORDIAZEPOXIDE"", ""HEROIN"", ""CODEINE"", ""OXYCODONE"", ""HYDROCODONE"", ""TRAMADOL"", ""MORPHINE"", ""HYDROMORPHONE"", ""FENTANYL"", ""DOXAZOSIN""]","Increased risk of falls (all) and of fracture (benzodiazepines and nonbenzodiazepine, benzodiazepine receptor agonist hypnotics)",Avoid total of three or more CNS-active drugs; minimize number of CNS-active drugs
5,"[""HYDROCORTISONE"", ""HYDROCORTISONE"", ""BETAMETHASONE"", ""PREDNISONE"", ""PREDNISOLONE"", ""TRIAMCINOLONE"", ""METHYLPREDNISOLONE"", ""DEXAMETHASONE"", null]","[""ACETYLSALICYLIC ACID"", ""DICLOFENAC"", ""DIFLUNISAL"", ""ETODOLAC"", ""FENOPROFEN"", ""IBUPROFEN"", ""KETOPROFEN"", ""MECLOFENAMIC ACID"", ""MEFENAMIC ACID"", ""MELOXICAM"", ""NABUMETONE"", ""NAPROXEN"", ""OXAPROZIN"", ""PIROXICAM"", ""SULINDAC"", ""TOLMETIN"", ""CELECOXIB""]",,Increased risk of peptic ulcer disease or gastrointestinal bleeding,"Avoid; if not possible, provide gastrointestinal protection"
6,"[""LITHIUM""]","[""BENAZEPRIL"", ""CAPTOPRIL"", ""ENALAPRIL"", ""ENALAPRIL"", ""FOSINOPRIL"", ""LISINOPRIL"", ""MOEXIPRIL"", ""PERINDOPRIL"", ""QUINAPRIL"", ""RAMIPRIL"", ""TRANDOLAPRIL""]",,Increased risk of lithium toxicity,Avoid; monitor lithium concentrations
7,"[""LITHIUM""]","[""BUMETANIDE"", ""FUROSEMIDE"", ""ETHACRYNIC ACID"", ""TORASEMIDE""]",,Increased risk of lithium toxicity,Avoid; monitor lithium concentrations
8,"[""DOXAZOSIN"", ""PRAZOSIN"", ""TERAZOSIN""]","[""BUMETANIDE"", ""FUROSEMIDE"", ""ETHACRYNIC ACID"", ""TORASEMIDE""]",,Increased risk of urinary incontinence in older women,"Avoid in older women, unless conditions warrant both drugs"
9,"[""PHENYTOIN""]","[""TRIMETHOPRIM""]",,Increased risk of phenytoin toxicity,Avoid
10,"[""THEOPHYLLINE""]","[""CIMETIDINE""]",,Increased risk of theophylline toxicity,Avoid
11,"[""THEOPHYLLINE""]","[""CIPROFLOXACIN""]",,Increased risk of theophylline toxicity,Avoid
12,"[""WARFARIN""]","[""AMIODARONE""]",,Increased risk of bleeding,"Avoid when possible; if used together, monitor INR closely"
13,"[""WARFARIN""]","[""CIPROFLOXACIN""]",,Increased risk of bleeding,"Avoid when possible; if used together, monitor INR closely"
14,"[""WARFARIN""]","[""ERYTHROMYCIN"", ""CLARITHROMYCIN"", ""FIDAXOMICIN"", ""TELITHROMYCIN""]",,Increased risk of bleeding,"Avoid when possible; if used together, monitor INR closely"
15,"[""WARFARIN""]","[""TRIMETHOPRIM""]",,Increased risk of bleeding,"Avoid when possible; if used together, monitor INR closely"
16,"[""WARFARIN""]","[""ACETYLSALICYLIC ACID"", ""DICLOFENAC"", ""DIFLUNISAL"", ""ETODOLAC"", ""FENOPROFEN"", ""IBUPROFEN"", ""KETOPROFEN"", ""MECLOFENAMIC ACID"", ""MEFENAMIC ACID"", ""MELOXICAM"", ""NABUMETONE"", ""NAPROXEN"", ""OXAPROZIN"", ""PIROXICAM"", ""SULINDAC"", ""TOLMETIN"", ""CELECOXIB""]",,Increased risk of bleeding,"Avoid when possible; if used together, monitor closely for bleeding"
